pitcher_id,avg_speed,pitch_type,Vertical_Break_Difference,Horizontal_Movement_Difference
458681,94.6,FF,-0.6,-1.8
625643,95.4,FF,-0.6,2.5
543037,97.1,FF,2.8,3.6
434378,94.6,FF,2.9,3.2
543606,92.9,FF,0.7,3.2
572020,95.4,FF,-0.2,4
608337,94.2,FF,1.8,1.3
571510,92.1,FF,-0.5,2.6
594798,96.9,FF,1.3,-1.7
621111,96.5,FF,2.3,-2.9
501985,92.5,FF,-0.5,-3.3
656427,94.3,FF,-0.2,-3
669456,93.1,FF,2.4,0.8
592761,91.6,FF,-0.2,6.1
545333,94.5,FF,1.8,1.5
608331,93.8,FF,-3.4,-4.1
605200,88.4,SI,-2.8,1.5
663978,93.9,FF,2,0.9
518516,91.4,FF,-0.4,2.1
641712,93.5,SI,2.6,-1.5
622608,93.7,FF,-4.5,-2.2
642098,93.4,FF,-1,2.3
571927,93.3,SI,-1.2,1.2
607644,91.7,FF,2.8,-0.3
664192,90.1,SI,-2.3,-2
593958,93,FF,-1.7,1.1
456701,93,FF,-1.1,1.4
489119,87.3,FC,0.3,0.6
453286,94.9,FF,-0.6,3.2
641778,91.8,FF,0.4,2.4
592826,94.2,FF,1.7,-3.5
592662,92.4,FF,1.9,0.5
457918,92,FF,1.1,1.3
579328,92.5,FF,0,-1.4
425844,89.9,FF,-0.4,-4.1
527054,89.7,FF,-1.5,-2.2
642547,93.6,FF,1.6,-0.5
571578,81.7,SL,1.2,-2.3
641816,93.3,FF,-1.3,4.1
453562,92.5,SI,0.9,1.8
594835,88.9,SI,-6,-2.6
592351,96,FF,-3.8,3.1
592866,91.7,FF,-1.4,-1.1
663423,92.9,FF,1,-4.6
543475,92.6,FF,0.5,0.2
605513,93.6,FF,-4,-5.6
501381,92.5,FF,-2.9,-0.2
605400,93.1,FF,-0.9,4.2
605164,91.1,FF,2.3,-1.4
605400,79.1,CU,3,1.9
450203,78.6,CU,1,8.1
474463,90.7,SI,2.1,0.2
647336,92.3,SI,2.3,1
488768,93.9,FF,0.4,0.3
595881,94.2,FF,-1.3,2.7
641745,93.7,FF,-1.6,-7.2
571578,91.8,SI,-0.4,0.7
477132,90.3,FF,2.4,-7.3
571510,79.6,SL,2.3,-6.4
543294,86.7,SI,0.5,-1.2
592716,92.5,SI,-2.6,-1.5
573186,92.5,SI,4.1,-3.4
518876,92,FF,-0.5,-2.7
467100,92.3,SI,3.2,2.6
630023,93.9,SI,-0.6,2.9
608379,93,FF,0.6,0.8
518516,87.2,FC,0.4,-1
605182,95.4,FF,2.3,-2.3
596057,90.8,FF,0.4,-0.7
452657,87.9,FC,2.9,-0.4
506433,86.9,FC,-6.8,3.1
544931,81.2,CU,-1.8,4.1
425794,74.9,CU,1,7.9
519141,92.8,FF,2.5,-2.1
594798,92.5,SL,-0.6,0.9
643338,96.4,FF,1.9,-0.6
643230,92.1,FF,-2.6,1.6
547888,83.3,SL,0.4,-1.3
592767,91.2,FF,1.8,-1.4
621244,93.1,FF,-0.9,2.1
477132,86.9,SL,-5.3,1
605135,93.2,SI,-1.3,0.8
670950,90.8,FF,1.7,1.4
622491,87.2,CH,1,1
605397,92.7,FF,-4,-1.5
502624,93.3,FF,1,1.1
500779,91.4,FF,-0.2,-2.4
596001,91.7,FF,-2,-1.3
571760,92.5,SI,-7.4,-1.2
544931,93.9,FF,-0.6,2.4
592644,91.1,FF,2.1,-2.5
543101,94.7,FF,0.8,1.9
468504,79.8,SL,-3.2,3.6
668676,93.9,FF,0.8,1.9
518633,92.3,FF,1.5,0.1
554430,96.8,FF,0.3,3.3
448281,93.5,FF,3.9,-3.7
519242,79,SL,5.1,3
623352,95.5,FF,2.4,1.6
593144,93.2,FF,-0.7,6.5
592662,84.2,SL,-2.6,-2.7
573186,85.7,SL,1.4,5.5
592332,93.9,FF,-0.2,3.5
450203,94.7,FF,-2.8,5.5
645261,95.6,FF,-0.8,1.3
519144,91,FF,-1.1,2.5
434378,87.5,SL,-2.3,0.3
664192,78.9,CH,8.9,-9.6
608566,95.7,FF,-2.5,-0.6
571666,90.4,FF,1.9,2.5
592789,97.5,SI,1,0.1
554430,96.5,SI,-2.9,-0.5
605483,95.5,FF,2.1,0
502706,92.3,SI,-3.7,0.4
572971,88.3,SI,5.5,-1.2
521230,96.5,FF,3,-1.4
622491,96.4,FF,-2.6,3.6
592789,97.8,FF,-1.1,-0.9
621244,81.2,CU,-5.1,7
543766,92.5,FC,-1.6,2.2
489334,92.8,SI,-1,0
519242,93.4,FF,-3.2,6.6
502043,93.2,SI,-1.1,-0.2
670950,83.4,CH,0,2.6
450306,78.7,CH,-0.4,3.2
656427,84.8,SL,-3,0.8
593833,92.9,FC,2.1,1.5
596001,82.4,SL,2.4,7.6
543699,91.9,SI,-4.3,-1.4
621107,93.8,FF,-2.1,1.8
570632,95.8,SI,-0.1,1.4
452657,90.6,FF,-0.3,0.2
669456,85,SL,-1.2,-3.4
527048,88.5,FC,-0.9,0.6
645261,95.3,SI,1.6,2
641745,84.9,SL,6.5,2.5
430935,91.4,FF,-0.6,1.3
642558,92,SI,2.7,1.8
592761,83.5,SL,-3.2,-4
592717,93.4,FF,-1.6,6.2
608032,97.8,FF,-0.3,-1.9
502042,94.1,FF,2,-0.3
605200,80,CH,0.3,0.9
663567,92.7,FF,-1.3,1
593958,87.7,CH,1,3.5
502188,91.6,FF,-0.8,2.8
501985,86.2,CH,-4.6,3.9
453172,91.1,SI,10.5,1.5
628317,92.1,FF,-0.3,-0.6
593334,81.7,CU,-3.9,-6.6
434671,90.2,FF,0.9,-3.4
502154,94.7,SI,2.6,-1.8
543243,93.3,FF,-0.2,-5.7
656222,92,FF,0.6,-1.6
601713,94.6,FF,1.8,3
592351,88.3,SL,-2.1,-1.8
621107,87.1,SL,-3.4,0
592879,91.5,FF,1.4,-3.6
