pitcher,FF,SI,FC,SL,CH,CU,FS,KN
544931,93.9,93.8,,87.8,87.7,81.4,,
543037,97.2,97.1,,89.3,88.6,82.9,,
434378,94.6,,,87.4,86.9,79.4,,
571578,92.1,91.9,,81.8,81.7,67.8,,
545333,94.5,94.8,84.6,79.6,86,79.1,,
593958,93,93,88.5,85.2,87.7,82.4,,
425844,89.9,90.4,89.3,83.8,87.4,70.7,80.1,
656427,94.3,92.1,,84.9,86.2,78.2,,
458681,94.6,92.8,89,,86.9,81.2,,
501985,92.5,,,86.4,86.2,80.7,,
605400,93.1,92.2,,,85.8,79.1,,
450203,94.8,93.9,85.4,,,78.7,84.9,
453286,95,,89.9,85.6,84.4,78.8,,
518516,91.4,92.2,87.2,,84.2,78.8,,
669456,93.1,93.7,,85,87.6,82.7,,
621244,93.2,92.2,,,82.6,81.3,,
594798,96.9,96.7,,92.5,90.3,84.3,,
625643,95.4,,,84.4,84,78.3,,
554430,96.8,96.5,,91.2,89,80.7,88.8,
594835,88.1,88.9,85.2,,81.2,76.3,,
571510,92.1,90.3,90.5,79.6,79.1,72.2,,
592789,97.8,97.5,,89.1,91.1,80.4,,
645261,95.6,95.3,,86,89.1,82,,
622491,96.4,96.5,,85.9,87.2,,,
592662,92.4,92.2,,84.2,,81.6,,
527054,89.7,89.3,,82.2,83.6,74.8,,
621111,96.6,96.6,92.8,87,91.5,80.9,,
573186,92.9,92.5,91,85.7,87,75.4,,
452657,90.6,89.5,87.9,,84.3,74.5,,
547888,91.4,90.3,87.5,83.2,,76.1,86.7,
425794,89.6,90,84.9,,83.9,74.9,,
502188,91.6,92.2,88.8,84.6,,76.3,82.3,
467100,92.5,92.3,86.7,,86.2,79.9,,
571945,93.7,93.4,,87,87.8,78.4,,
434671,90.2,90.5,87.7,83.2,71.3,77,84.4,
502190,88.6,88.3,86.7,80.3,84,79.3,,
518876,92,91.5,89.9,,86,80.6,,
519144,91,89.5,,84.3,80.8,74.9,,
