pitcher,FF,SI,FC,SL,CH,CU,FS,KN
282332,2098,2053,2195,2210,1885,,,
407845,2187,2037,,2253,1740,,,
424144,2192,2161,,2279,,,,
425794,2195,2178,2345,,1769,2754,,
425844,2328,2255,2409,2512,1787,2447,1703,
429719,2270,2112,2339,2299,2221,2518,,
429722,2070,2024,,2307,1518,,,
430935,2059,2034,1994,,1713,2040,,
433587,2151,2060,,2317,1734,2441,,
433589,2230,,2224,,1887,2125,,
434378,2574,,,2615,1873,2822,,
434538,2069,2047,,2289,1684,,,
434671,2243,2140,2318,2306,1447,2114,1722,
435043,2158,1993,,2495,,2348,,
444468,2087,2038,,2343,1814,,,
445197,2327,2205,,2415,,2222,,
445213,2021,2018,,2297,2130,,,
445276,2334,,2557,2389,,,,
445926,2312,2124,2311,2333,2063,2429,,
446321,2214,2098,2257,2177,1644,2145,,
446372,2332,2210,2503,,1804,2538,,
448179,2472,2412,2646,2835,1681,2914,,
448281,2222,,,2399,,,2133,
448609,2065,,,2007,,,969,
448614,2335,2019,2330,2437,,2365,,
448855,2459,2353,,,,2651,1235,
450172,2280,2291,,,1237,2726,,
450203,2265,2108,2437,,,2892,2124,
450212,,2099,2022,2234,1376,,,
450306,2234,2203,,,2208,2433,,
451584,2415,2382,2722,,2357,2582,,
452657,2251,2143,2391,,1939,2606,,
453172,2141,1869,,2095,1551,2074,,
453178,2439,,2209,,2027,2687,,
453192,2086,1994,,2605,2732,,,
453214,2044,1913,,,,,,
453265,2347,2328,,2367,2380,,,
453281,1935,1888,2005,,1544,2272,,
453284,2140,,2181,,,2170,1045,
453286,2483,,2439,2379,1541,2730,,
453329,2148,2120,2273,,1538,2707,,
453343,2342,,2350,,,2709,1806,
453385,2284,2185,,2219,1581,,,
453562,2275,2196,,2363,1730,2766,,
455119,2297,2271,2256,2299,1663,,,
456034,2209,2188,2193,,1800,2264,,
456051,,2125,,2202,1858,2586,,
456387,2045,,,,1849,,,1974
456501,2292,2212,,2344,1386,2417,,
